['2021-09-28T14:04:03.691', '111', ' #update']
['2021-09-28T14:07:46.387', '111', ' -mc online']
['2021-09-28T14:09:06.053', '54321', ' 空荡荡']
['2021-09-28T14:09:38.180', '111', ' 空荡荡']
['2021-09-28T14:10:57.435', '7654321', ' 空荡荡']
['2021-09-28T14:18:30.366', '2333333', '  怎么你也会复读？']
['2021-09-28T14:19:48.558', '2333333', ' ']
['2021-09-28T14:21:38.799', '666666', ' 五仁？']
['2021-09-28T14:21:46.671', '666666', ' 为啥不喜欢五仁']
['2021-09-28T14:22:00.271', '666666', ' 我最爱的月饼馅']
['2021-09-28T14:25:41.632', '2333333', ' 真的？']
['2021-09-28T14:28:39.180', '666666', ' 真的']
['2021-09-28T14:29:12.505', '666666', ' 总有少数人能吃惯大多数人的味道']
['2021-09-28T14:29:26.150', '666666', ' 少打了几个字']
['2021-09-28T14:29:36.716', '666666', ' 总有少数人能吃惯大多数人吃不惯的味道']
['2021-09-28T14:29:41.138', '666666', ' ']
['2021-09-28T14:31:47.539', '2333333', ' 完美']
